theta_x,theta_y,theta_z,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
-20.0,0.0,0.0,6.4039592517953,2.2568886240104717,17.655956473270166,3.338877135425263
-19.0,0.0,0.0,5.926145088059101,2.1146533515949586,17.058389329265964,3.2623291976042115
-18.0,0.0,0.0,5.467390124605259,1.975492687468955,16.456567944297277,3.1862971167824847
-17.0,0.0,0.0,5.027802334583512,1.839182902975576,15.850345787031188,3.1109785800732093
-16.0,0.0,0.0,4.607475675830742,1.7058335229247177,15.23957165011933,3.0359412428046473
-15.0,0.0,0.0,4.2064917472630725,1.5757476738626244,14.86816577745052,2.961237673478858
-14.0,0.0,0.0,3.8249213745350517,1.4488560712337664,14.844078544565795,2.886732872856197
-13.0,0.0,0.0,3.4628261197882892,1.3271479786864586,14.819817053442815,2.8119507620191984
-12.0,0.0,0.0,3.1202597114876482,1.2150417044406434,14.795439949476709,2.7368895873221035
-11.0,0.0,0.0,2.849708397659441,1.1074723382394327,14.770876917192119,2.6611114716001163
-10.0,0.0,0.0,2.690574939190043,1.0046347112274598,14.746136057218505,2.584389549209757
-9.0,0.0,0.0,2.538878150111259,0.9075591103820025,14.721225514496,2.506030400354841
-8.0,0.0,0.0,2.3946811978130995,0.8139555038803645,14.69615347261196,2.427068161597147
-7.0,0.0,0.0,2.2580441483908373,0.7236906243276017,14.67092814825916,2.3497683924184645
-6.0,0.0,0.0,2.129023974789945,0.6366110309734033,14.645557785827815,2.2704224622585363
-5.0,0.0,0.0,1.9844796270471363,0.5495394739519698,14.181916568133508,2.1483645145386547
-4.0,0.0,0.0,1.823404706618959,0.461225943577392,13.140603863705545,1.9734866279667058
-3.0,0.0,0.0,1.665291681917438,0.3755271209485528,12.096991216832086,1.799451856104616
-2.0,0.0,0.0,1.2968251155713943,0.2681182894617466,8.844838405777903,1.336414454091508
-1.0,0.0,0.0,0.7312707659365856,0.1419288103634048,4.585893867659237,0.7067820986414707
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.8814486490793314,0.15804265766262449,4.754505901834145,0.7685217856486888
2.0,0.0,0.0,1.8858298386184629,0.3282933271723345,9.576209106649882,1.5671540603263319
3.0,0.0,0.0,3.0024492698405965,0.5120557610272894,14.488924037733698,2.406265181999678
4.0,0.0,0.0,4.222729312452458,0.7126232642756062,19.53638299507679,3.3063780267664664
5.0,0.0,0.0,5.5379397406568955,0.935700012698518,24.828596663483683,4.299985143669276
6.0,0.0,0.0,6.939559478347562,1.1920909935538153,30.577198066299335,5.443130402599792
7.0,0.0,0.0,8.419263387832629,1.5016817391948534,37.370022675320484,6.834965476962944
8.0,0.0,0.0,10.378103044725805,1.8960687294050689,50.1526488797315,8.612467497918098
9.0,0.0,0.0,13.989569862713367,2.239766494110536,65.81424194622305,10.011019442249772
10.0,0.0,0.0,14.481064840615453,2.3983370973797418,65.81989270079634,10.616630011327802
11.0,0.0,0.0,14.627962446772145,2.4868308690246024,65.8203022537756,11.03661065498748
12.0,0.0,0.0,14.732963005050337,2.554878347507464,66.48739831659616,11.3842338234728
13.0,0.0,0.0,14.830944783132637,2.6145547167439953,67.19464785236525,11.697248448614888
14.0,0.0,0.0,14.925324579448684,2.668097043005946,67.65245720356162,11.987675745638574
15.0,0.0,0.0,15.016054773608168,2.7177180326069696,68.27918625248988,12.258285418831123
16.0,0.0,0.0,15.103090045076463,2.7649771985057705,69.15085196358473,12.51155249997744
17.0,0.0,0.0,15.186387399340632,2.809849863216088,69.72221153493753,12.751009489312331
18.0,0.0,0.0,15.26590619117146,2.852557746579081,70.57669054892763,12.976666366922915
19.0,0.0,0.0,15.341608145036489,2.8928963248960087,70.75363731889362,13.19182224299187
20.0,0.0,0.0,15.413457372724757,2.9311109670469535,71.14286848825726,13.396884635633281
