theta_x[deg],theta_y,theta_z[deg],dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,-20.0,0.0,8.411874067110546,2.500108480860339,25.759817354192897,3.9307333619446116
0.0,-19.0,0.0,7.8909648113867235,2.3594852462735547,24.594528649372663,3.8260915825503394
0.0,-18.0,0.0,7.3806592363221775,2.224884569011858,23.458299191620178,3.7263577976843663
0.0,-17.0,0.0,6.8809846646055774,2.094140739165068,22.351695207674126,3.631122590339595
0.0,-16.0,0.0,6.391958235148554,1.9664506898779062,21.275234629279716,3.5399497195871454
0.0,-15.0,0.0,5.9135875751935245,1.8414564019175057,20.22938693657025,3.452666308432771
0.0,-14.0,0.0,5.445871460204138,1.7189691853139357,19.214572951889657,3.3690390180043965
0.0,-13.0,0.0,4.9888004583126495,1.5987341119237521,18.23116457370508,3.288741920036351
0.0,-12.0,0.0,4.542357559403346,1.4803617392327337,17.27948444554744,3.2114884324448787
0.0,-11.0,0.0,4.106518784826498,1.3638282521514067,16.359805560316147,3.137213417551503
0.0,-10.0,0.0,3.681253779400361,1.2491330969195413,15.97722167954541,3.0645705391107803
0.0,-9.0,0.0,3.2665263841974976,1.1356412721365443,15.620294241303919,2.954928111775796
0.0,-8.0,0.0,2.8622951785906245,1.0232008884313377,15.317295365089834,2.8179195228076215
0.0,-7.0,0.0,2.4685140084127504,0.9104563142604086,14.990118402942498,2.655820836413507
0.0,-6.0,0.0,2.085132503772318,0.790140317888433,13.159358593808474,2.325168606676699
0.0,-5.0,0.0,1.7120965379739488,0.6669369446635957,11.173602850309809,1.9712344965470843
0.0,-4.0,0.0,1.3493487208335502,0.5406592666522919,9.080693166195555,1.6009777886445975
0.0,-3.0,0.0,1.0443046147626731,0.4110202833524174,6.9049727377495405,1.217165175155573
0.0,-2.0,0.0,0.7190567046671923,0.27783118421062086,4.661164690909674,0.8220729754507468
0.0,-1.0,0.0,0.3712489209026728,0.14088563401819199,2.357596291730225,0.41645455821058125
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.3972427382981891,0.14525446740532125,2.4087928527052114,0.42884962948874816
0.0,2.0,0.0,0.8214378762262982,0.2945343902988067,4.858796689297446,0.8675058936035861
0.0,3.0,0.0,1.2693794742089608,0.44737028509280224,7.344345759755109,1.3118941464723914
0.0,4.0,0.0,1.7393972726837603,0.6038636863019201,9.870726627706324,1.7640732174877227
0.0,5.0,0.0,2.2350476734728772,0.7642123300507205,12.44400468593326,2.2248086830342424
0.0,6.0,0.0,2.767043823239817,0.9285733834784663,15.073709073066318,2.6962164446913413
0.0,7.0,0.0,3.3332585581582848,1.0973746348231348,17.77448554381545,3.1804633892703653
0.0,8.0,0.0,3.937608899383278,1.271110999845588,20.567835284322094,3.6802492288176354
0.0,9.0,0.0,4.585225287056225,1.4505838419973445,23.48818036317344,4.1991888189495175
0.0,10.0,0.0,5.282947213278021,1.6366594249367914,26.597625369007652,4.743684428578613
0.0,11.0,0.0,6.0391925185852955,1.830173076487345,30.01147790387397,5.321025105983292
0.0,12.0,0.0,6.865974618284184,2.032889188261495,34.017546240100046,5.931095471870762
0.0,13.0,0.0,7.7795253441749495,2.2460490194160303,38.78427947003043,6.579467723723412
0.0,14.0,0.0,8.802752646973538,2.4709305552707983,44.343826696302614,7.267520615059082
0.0,15.0,0.0,9.968209180873949,2.707449999925959,51.03200411780891,7.980183362811102
0.0,16.0,0.0,11.326450874336707,2.946995179474291,61.43235751337285,8.642779399387159
0.0,17.0,0.0,12.776791847237213,3.1621093810990613,65.89757639602836,9.142913925203432
0.0,18.0,0.0,13.392915597384565,3.3527883334418105,65.91068509548994,9.519106611867294
0.0,19.0,0.0,13.63489018111099,3.53125019401083,65.91772360279293,9.826256830977558
0.0,20.0,0.0,13.739475018214357,3.7044772280060365,65.92244030262839,10.093883485821664
