theta_x[deg],theta_y,theta_z,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0,0,-20,20.525880174078,4.64764941092216,68.4092731113745,24.9023149770513
0,0,-19,20.0050342254709,4.42351765027678,67.4196248700774,23.6072017412868
0,0,-18,19.4465975447597,4.14201074626288,66.2324663630387,21.9343062851634
0,0,-17,18.8586248688445,3.86213651906928,64.7742296845067,20.1803567334703
0,0,-16,18.2239626285457,3.59654635674117,62.9244714312225,18.4420578405434
0,0,-15,17.5484020353649,3.33914164118535,60.4678342438742,16.666099081902
0,0,-14,16.8252988008823,3.08370248651868,58.512850994769,14.8026798208715
0,0,-13,16.0580010366202,2.8137173959024,56.341408789887,12.8138766283008
0,0,-12,15.2392001256015,2.46865599720754,51.2124119516647,10.462528983791
0,0,-11,14.3657381201236,2.06452677165279,34.9063705642487,7.46986409230774
0,0,-10,13.4369264144502,1.86231739592758,28.0943164493688,4.65198816651107
0,0,-9,12.4536208516071,1.75752208335736,25.0417622615817,3.76832904424351
0,0,-8,11.4005607130821,1.63209227247125,22.413053797366,3.06967445746515
0,0,-7,10.2771908132716,1.46583976636693,19.6809623234441,2.47117108313475
0,0,-6,9.07927047182903,1.27959277966296,16.7915841007678,1.95152493371583
0,0,-5,7.80263723005926,1.08616247632598,13.7327475982331,1.49975826820364
0,0,-4,6.44129909827903,0.885684853927221,10.4907968405817,1.1123655855192
0,0,-3,4.98835858181783,0.677416740578269,7.05032126590986,0.774775798107929
0,0,-2,3.43680190509737,0.460611738882026,3.39382245880645,0.47393999475314
0,0,-1,1.7769290300133,0.234687515604371,1.27343894447282,0.208126422903502
0,0,0,0,0,0,0
0,0,1,1.90440762075605,0.245863936120277,1.22202262083555,0.198329780270721
0,0,2,3.94881586158174,0.504072315095932,2.37681645034316,0.387856378071338
0,0,3,6.14672449814967,0.775962337596373,3.49745071520852,0.569869235656548
0,0,4,8.51314124611226,1.06369428854875,4.57277920441069,0.745327989963603
0,0,5,11.0683596592631,1.36948214971498,5.60399331889428,0.915267544976551
0,0,6,13.8322740388989,1.69617677649834,6.59697072865463,1.08024860744457
0,0,7,16.8315429126235,2.04788258610804,7.55738847153606,1.24134040279183
0,0,8,20.0971664651653,2.42946972799696,8.48998646847768,1.39940552353991
0,0,9,23.6686508892305,2.84409168614434,9.40339153235041,1.55755118632073
0,0,10,27.5864373361481,3.28508413681489,10.3293383728423,1.7260997530139
0,0,11,31.9126437189983,3.8068857542297,11.2364241630077,1.89307129384428
0,0,12,36.7260208547471,4.41551113272374,12.1297196192785,2.05955861672972
0,0,13,42.126314223877,5.14961431464022,13.0154059977561,2.22649288192487
0,0,14,48.2664955315986,6.04251171262665,13.9019019723508,2.39466189402091
0,0,15,55.3643639617844,7.15312908012384,14.8018090207381,2.56492671385375
0,0,16,63.8327500215039,8.5677248144085,15.734280756845,2.73645620281431
0,0,17,74.6100636497841,10.384873287661,16.7267404771086,2.90682534326365
0,0,18,88.2281830644808,12.6109046386782,17.803357061742,3.07898367510939
0,0,19,108.851109532628,14.9733291351288,18.9057790103876,3.23257440253077
0,0,20,125.115036223268,17.0627896755639,19.9264595041954,3.35017530166393
